REGIONC,DIVISION,METROMICRO,UATYP10,TYPEHUQ,CELLAR,BASEFIN,ATTIC,ATTICFIN,STORIES,PRKGPLC1,KOWNRENT,YEARMADERANGE,TOTROOMS,NCOMBATH,NHAFBATH,WALLTYPE,ROOFTYPE,DRAFTY,RECBATH,MONTUB,TVCOLOR,TVSIZE1,TVONWD1,TVONWE1,FUELHEAT,TEMPHOME,TEMPGONE,TEMPNITE,MOISTURE,USEMOISTURE,AIRCOND,COOLTYPE,AGECENAC,TEMPHOMEAC,TEMPGONEAC,TEMPNITEAC,BASECOOL,ATTCCOOL,GARGCOOL,NUMCFAN,NOTMOIST,HHSEX,HHAGE,EMPLOYHH,EDUCATION,NUMADULT,NUMCHILD,ATHOME,MONEYPY,ENERGYASST,CDD65,CLIMATE_REGION_PUB,HDD65,KWH,KWHTV1,KWHHTBPMP,KWHHTBHEAT,DOLLAREL,DOLELTV1,DOLELHTBPMP,DOLELHTBHEAT,CUFEETNG,DOLLARNG,GALLONLP,GALLONFO,TOTALDOL,WOODAMT
West,Pacific,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1980 to 1989,4,1,0,Wood,Not applicable,Some of the time,No,NA,0,Not applicable,Not applicable,Not applicable,Electricity,76,75,75,No,NA,Yes,Central air conditioning system,10 to 14 years old,71,74,75,Not applicable,Not applicable,Not applicable,1,No,Female,31,Employed full-time,Some college or Associate’s degree,1,0,1,"$40,000 - $59,999",No,1516,Hot-Dry/Mixed-Dry,2025,6500.706,0,0,0,858.31,0,0,0,108.567,117.51,0,0,975.82,NA
South,West South Atlantic,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,No,Owned or being bought by someone in your household,1950 to 1959,5,1,0,Wood,Shingles (composition or asphalt),Some of the time,No,NA,1,27 inches or less,1 to 3 hours,1 to 3 hours,Natural gas from underground pipes,68,65,65,No,NA,Yes,Central air conditioning system,2 to 4 years old,82,88,85,Not applicable,Not applicable,Not applicable,4,No,Female,73,Not employed/retired,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",1,0,5,"$20,000 - $39,999",No,3502,Hot-Humid,1351,3948.235,76.623,0,0,487.73,9.47,0,0,273.235,280.44,0,0,768.17,NA
Midwest,East North Central,METRO,U,Single-family detached house,Yes,No,No,Not applicable,Two stories,No,Rented,Before 1950,6,1,0,Siding,Shingles (composition or asphalt),Some of the time,No,NA,4,60 inches or more,More than 10 hours,More than 10 hours,Natural gas from underground pipes,72,72,72,No,NA,Yes,Individual window/wall or portable units,Not applicable,69,69,69,No,Not applicable,Not applicable,2,No,Female,31,Employed full-time,High school diploma or GED,1,4,5,"$20,000 - $39,999",Yes,825,Cold/Very Cold,5802,15861.028,859.15,0,0,2126.2,115.04,0,0,760.412,705.97,0,0,2832.17,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1980 to 1989,7,2,0,Stucco,Ceramic or clay tiles,Some of the time,No,NA,3,40 to 59 inches,4 to 6 hours,7 to 10 hours,Natural gas from underground pipes,68,66,66,No,NA,Yes,Central air conditioning system,2 to 4 years old,73,76,72,Not applicable,Not applicable,No,4,No,Female,58,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",1,0,2,"$80,000 to $99,999",No,1050,Hot-Dry/Mixed-Dry,2067,8255.597,235.587,0,0,2300.15,65.5,0,0,216.82,299.24,0,0,2599.39,NA
South,South Atlantic,METRO,U,Single-family detached house,Yes,Yes,No,Not applicable,Two stories,No,Owned or being bought by someone in your household,1980 to 1989,9,4,1,Siding,Wood shingles/shakes,Some of the time,No,NA,2,28 to 39 inches,7 to 10 hours,7 to 10 hours,Natural gas from underground pipes,74,74,68,Yes,6,Yes,Central air conditioning system,5 to 9 years old,76,76,72,Yes,Not applicable,Not applicable,0,Yes,Female,83,Employed part-time,"Bachelor’s degree (for example: BA, BS)",2,0,5,"$100,000 to $119,999",No,1482,Mixed-Humid,4451,9981.032,286.301,0,0,1236.59,35.41,0,0,1304.512,1261.9,0,0,2498.49,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Rented,1990 to 1999,5,2,1,Wood,Wood shingles/shakes,Most of the time,No,NA,3,28 to 39 inches,More than 10 hours,More than 10 hours,Natural gas from underground pipes,80,70,85,No,NA,Yes,Individual window/wall or portable units,Not applicable,70,70,78,Not applicable,Not applicable,No,1,No,Female,18,Employed part-time,High school diploma or GED,4,2,5,"Less than $20,000",No,2216,Hot-Dry/Mixed-Dry,1072,7795.657,494.529,0,0,1466.16,93.01,0,0,720.578,775.27,0,0,2241.43,NA
South,East South Atlantic,METRO,U,Apartment in a building with 2 to 4 units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1960 to 1969,4,1,0,Brick,Shingles (composition or asphalt),All the time,No,NA,1,28 to 39 inches,7 to 10 hours,7 to 10 hours,Electricity,75,75,80,No,NA,Yes,Individual window/wall or portable units,Not applicable,69,78,69,Not applicable,Not applicable,Not applicable,0,No,Female,34,Not employed/retired,High school diploma or GED,1,0,1,"Less than $20,000",No,1619,Mixed-Humid,3273,8851.736,379.396,0,0,1032.19,44.15,0,0,0,0,0,0,1032.19,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,Two stories,Yes,Owned or being bought by someone in your household,1990 to 1999,7,2,1,Stucco,Concrete tiles,Never,No,NA,1,28 to 39 inches,Less than 1 hour,Less than 1 hour,Natural gas from underground pipes,70,65,65,No,NA,Yes,Central air conditioning system,10 to 14 years old,68,75,70,Not applicable,Not applicable,No,1,No,Male,69,Not employed/retired,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,0,0,"$120,000 to $139,999",No,720,Marine,1943,4864.363,15.229,0,0,958.96,2.99,0,0,340.905,507.72,0,0,1466.68,NA
South,West South Atlantic,METRO,C,Single-family attached house,No,Not applicable,No,Not applicable,One story,No,Rented,1970 to 1979,4,1,0,Brick,Shingles (composition or asphalt),Never,No,NA,4,40 to 59 inches,More than 10 hours,4 to 6 hours,Natural gas from underground pipes,80,75,70,No,NA,Yes,Central air conditioning system,5 to 9 years old,72,72,72,Not applicable,Not applicable,Not applicable,0,No,Male,32,Employed part-time,Some college or Associate’s degree,3,0,5,"Less than $20,000",No,3280,Hot-Humid,1302,11405.633,563.848,0,0,1056.49,52.23,0,0,189,237.79,0,0,1294.29,NA
Midwest,East North Central,METRO,R,Single-family detached house,Yes,No,Yes,No,One story,No,Rented,Before 1950,5,1,0,Siding,Shingles (composition or asphalt),Some of the time,No,NA,2,40 to 59 inches,1 to 3 hours,4 to 6 hours,Natural gas from underground pipes,69,66,69,No,NA,Yes,Central air conditioning system,Less than 2 years old,69,69,69,No,No,Not applicable,1,No,Male,34,Employed full-time,Less than high school diploma or GED,1,2,5,"$40,000 - $59,999",No,758,Cold/Very Cold,6302,8770.297,116.462,0,0,1250.14,16.57,0,0,610.812,432.15,0,0,1682.29,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1960 to 1969,6,2,0,Stucco,Shingles (composition or asphalt),Never,No,NA,1,28 to 39 inches,1 to 3 hours,1 to 3 hours,Natural gas from underground pipes,72,67,67,No,NA,Yes,Central air conditioning system,10 to 14 years old,81,85,82,Not applicable,No,No,2,No,Female,59,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",1,0,0,"$140,000 or more",No,1520,Hot-Dry/Mixed-Dry,2274,3976.8,52.332,0,0,696.42,9.16,0,0,414.323,595.25,0,0,1291.67,NA
South,South Atlantic,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1960 to 1969,3,1,0,Brick,Not applicable,Some of the time,No,NA,3,40 to 59 inches,4 to 6 hours,7 to 10 hours,Electricity,77,65,73,No,NA,Yes,Central air conditioning system,Less than 2 years old,72,75,72,Not applicable,Not applicable,Not applicable,2,No,Male,31,Employed full-time,High school diploma or GED,2,1,3,"Less than $20,000",No,1994,Mixed-Humid,2581,15106.591,284.723,0,0,1877.17,35.38,0,0,0,0,0,0,1877.17,NA
Midwest,West North Central,MICRO,C,Single-family detached house,Yes,Yes,Yes,No,One story,No,Owned or being bought by someone in your household,Before 1950,3,1,1,Stucco,Shingles (composition or asphalt),Never,No,NA,1,28 to 39 inches,1 to 3 hours,4 to 6 hours,Natural gas from underground pipes,70,70,70,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,5,No,Male,59,Employed full-time,High school diploma or GED,1,0,0,"$20,000 - $39,999",No,940,Cold/Very Cold,5772,4319.317,72.761,0,0,823.44,13.81,0,0,1098.516,1115.41,0,0,1938.85,NA
Northeast,Middle Atlantic,MICRO,R,Single-family detached house,Yes,No,Yes,No,Two stories,No,Owned or being bought by someone in your household,Before 1950,5,2,0,Siding,Shingles (composition or asphalt),Never,No,NA,1,27 inches or less,4 to 6 hours,1 to 3 hours,Wood (cordwood or pellets),75,70,70,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,0,Yes,Male,83,Not employed/retired,Some college or Associate’s degree,2,0,5,"$20,000 - $39,999",No,458,Cold/Very Cold,6915,5686.992,60.388,0,0,831.5,8.8,0,0,264.759,309.67,0,0,1141.17,5
South,West South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1980 to 1989,6,2,0,Siding,Shingles (composition or asphalt),Never,No,NA,3,28 to 39 inches,7 to 10 hours,More than 10 hours,Electricity,60,65,57,No,NA,Yes,Central air conditioning system,20 years or older,77,85,74,Not applicable,No,No,5,No,Female,32,Employed full-time,Some college or Associate’s degree,1,3,2,"$20,000 - $39,999",No,3212,Hot-Humid,1267,8918.337,212.883,0,0,1050.16,25.07,0,0,331.255,380.51,0,0,1430.68,0.5
South,South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,No,Owned or being bought by someone in your household,1970 to 1979,6,3,0,Wood,Shingles (composition or asphalt),Most of the time,No,NA,1,40 to 59 inches,7 to 10 hours,7 to 10 hours,Natural gas from underground pipes,72,72,68,Yes,3,Yes,Central air conditioning system,10 to 14 years old,78,78,82,Not applicable,No,Not applicable,7,Yes,Male,48,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,2,5,"$80,000 to $99,999",No,1954,Mixed-Humid,2621,9300.434,312.902,0,0,1222.11,41.04,0,0,659.457,786.25,0,0,2008.36,NA
South,South Atlantic,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,Two stories,Yes,Owned or being bought by someone in your household,1970 to 1979,6,2,1,Brick,Wood shingles/shakes,Some of the time,No,NA,1,28 to 39 inches,1 to 3 hours,1 to 3 hours,Electricity,72,68,68,No,NA,Yes,Central air conditioning system,5 to 9 years old,76,80,76,Not applicable,Not applicable,No,1,No,Female,53,Employed full-time,Some college or Associate’s degree,2,1,0,"$60,000 to $79,999",No,1847,Mixed-Humid,2555,27098,52.594,0,0,3550,6.89,0,0,0,0,0,0,3550,NA
South,West South Atlantic,METRO,R,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,2010 to 2015,16,2,0,Brick,Shingles (composition or asphalt),Never,No,NA,4,60 inches or more,1 to 3 hours,4 to 6 hours,Electricity,70,70,70,No,NA,Yes,Central air conditioning system,Less than 2 years old,75,75,70,Not applicable,No,No,7,No,Female,48,Employed full-time,High school diploma or GED,3,0,2,"$140,000 or more",No,3034,Hot-Humid,1357,23463.118,189.768,0,0,2146.23,17.36,0,0,0,0,260.398,0,2673.89,NA
Midwest,East North Central,METRO,U,Single-family detached house,Yes,Yes,Yes,Yes,One story,No,Rented,Before 1950,6,1,0,Siding,Wood shingles/shakes,Most of the time,No,NA,3,27 inches or less,4 to 6 hours,7 to 10 hours,Natural gas from underground pipes,70,58,65,Yes,2,Yes,Individual window/wall or portable units,Not applicable,72,72,72,No,No,Not applicable,0,No,Female,45,Employed full-time,Some college or Associate’s degree,1,1,0,"$20,000 - $39,999",No,670,Cold/Very Cold,6385,2460.429,78.799,0,0,539.91,17.29,0,0,1378.139,1113.52,0,0,1653.43,NA
Midwest,East North Central,METRO,U,Single-family detached house,Yes,Yes,No,Not applicable,Two stories,Yes,Owned or being bought by someone in your household,1960 to 1969,10,2,1,Siding,Shingles (composition or asphalt),Some of the time,No,NA,2,28 to 39 inches,1 to 3 hours,4 to 6 hours,Natural gas from underground pipes,70,55,67,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,1,Yes,Male,80,Not employed/retired,"Bachelor’s degree (for example: BA, BS)",2,0,5,"$60,000 to $79,999",No,736,Cold/Very Cold,6168,3280.422,67.851,0,0,385.75,7.94,0,0,991.365,824.32,0,0,1210.07,NA
South,South Atlantic,METRO,U,Mobile home,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Owned or being bought by someone in your household,1990 to 1999,4,2,0,Siding,Slate or synthetic shake,Some of the time,No,NA,0,Not applicable,Not applicable,Not applicable,Not applicable,NA,NA,NA,No,NA,Yes,Central air conditioning system,2 to 4 years old,70,70,65,Not applicable,Not applicable,Not applicable,2,Yes,Female,74,Not employed/retired,High school diploma or GED,1,0,5,"$20,000 - $39,999",No,4348,Hot-Humid,310,2974.023,0,0,0,507.83,0,0,0,0,0,0,0,507.83,NA
South,West South Atlantic,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Rented,1970 to 1979,6,2,0,Brick,Shingles (composition or asphalt),Most of the time,No,NA,2,27 inches or less,4 to 6 hours,7 to 10 hours,Electricity,68,60,68,No,NA,Yes,Central air conditioning system,20 years or older,75,80,75,Not applicable,Not applicable,No,6,No,Female,43,Employed part-time,"Bachelor’s degree (for example: BA, BS)",2,4,5,"$20,000 - $39,999",Yes,2747,Hot-Humid,2461,15187.477,81.099,0,0,2017.41,10.76,0,0,0,0,0,0,2017.41,NA
South,South Atlantic,MICRO,R,Single-family detached house,Yes,No,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1960 to 1969,6,2,0,Brick,Shingles (composition or asphalt),Never,No,NA,3,40 to 59 inches,More than 10 hours,7 to 10 hours,Electricity,68,68,68,No,NA,Yes,Central air conditioning system,10 to 14 years old,76,78,76,No,Not applicable,No,5,No,Male,80,Not employed/retired,High school diploma or GED,2,0,5,"$20,000 - $39,999",No,1962,Mixed-Humid,2765,13076.928,474.071,0,0,1959.27,70.93,0,0,0,0,0,0,1959.27,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1970 to 1979,7,1,1,Stucco,Shingles (composition or asphalt),Some of the time,Yes,0,2,28 to 39 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,72,66,66,No,NA,Yes,Central air conditioning system,10 to 14 years old,80,82,78,Not applicable,No,No,6,No,Female,28,Employed full-time,Some college or Associate’s degree,2,0,2,"$100,000 to $119,999",No,1424,Hot-Dry/Mixed-Dry,2049,9540.731,229.001,0,0,1287.81,30.85,0,0,377.034,513.02,0,0,1800.83,0.5
Northeast,New England,METRO,U,Single-family detached house,Yes,Yes,No,Not applicable,Two stories,Yes,Owned or being bought by someone in your household,Before 1950,8,1,1,Wood,Shingles (composition or asphalt),Never,No,NA,1,40 to 59 inches,Less than 1 hour,Less than 1 hour,Natural gas from underground pipes,68,64,64,No,NA,Yes,Both a central system and individual units,15 to 19 years old,80,85,75,No,Not applicable,No,0,No,Male,42,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,1,5,"$140,000 or more",No,1040,Cold/Very Cold,5540,3608.53,15.735,0,0,736.44,3.2,0,0,1365.185,1803.24,0,0,2539.68,2
South,East South Atlantic,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,No,Owned or being bought by someone in your household,Before 1950,5,1,1,Brick,Shingles (composition or asphalt),Never,No,NA,3,27 inches or less,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,65,58,58,No,NA,Yes,Central air conditioning system,5 to 9 years old,70,75,60,Not applicable,Not applicable,Not applicable,3,No,Male,24,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,0,4,"$60,000 to $79,999",No,2702,Hot-Humid,1394,16192.613,70.95,0,0,1853.73,8.12,0,0,177.446,169,0,0,2022.73,NA
South,East South Atlantic,METRO,U,Single-family detached house,Yes,No,Yes,No,One story,No,Owned or being bought by someone in your household,Before 1950,6,1,0,Siding,Shingles (composition or asphalt),All the time,No,NA,2,28 to 39 inches,More than 10 hours,More than 10 hours,Natural gas from underground pipes,72,60,68,No,NA,Yes,Central air conditioning system,10 to 14 years old,65,65,60,No,No,Not applicable,6,No,Female,40,Employed full-time,High school diploma or GED,1,0,5,"$20,000 - $39,999",No,2133,Mixed-Humid,3635,10752.548,303.439,0,0,1127.45,31.82,0,0,1260.323,1162.12,0,0,2289.57,NA
South,South Atlantic,METRO,R,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1970 to 1979,8,2,1,Brick,Shingles (composition or asphalt),Never,No,NA,4,40 to 59 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,72,68,72,No,NA,Yes,Central air conditioning system,20 years or older,72,68,72,Not applicable,No,No,5,No,Male,81,Not employed/retired,Less than high school diploma or GED,2,0,5,"$40,000 - $59,999",No,1889,Mixed-Humid,2668,15966.524,196.593,0,0,2406.93,29.64,0,0,780.338,851.17,0,0,3258.1,NA
West,Mountain North,NONE,C,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1990 to 1999,6,2,1,Stucco,Shingles (composition or asphalt),Never,No,NA,2,40 to 59 inches,7 to 10 hours,4 to 6 hours,Natural gas from underground pipes,65,61,61,Yes,0,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,1,No,Female,65,Not employed/retired,Some college or Associate’s degree,1,0,5,"$20,000 - $39,999",No,701,Cold/Very Cold,5596,5908,278.816,0,0,956.23,45.13,0,0,984.37,997.71,0,0,1953.95,NA
Midwest,East North Central,MICRO,R,Single-family detached house,Yes,No,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,1990 to 1999,8,2,0,Siding,Shingles (composition or asphalt),Never,Yes,1,2,28 to 39 inches,1 to 3 hours,1 to 3 hours,Propane (bottled gas),65,65,65,No,NA,Yes,Central air conditioning system,15 to 19 years old,75,75,75,No,No,No,6,Yes,Female,30,Not employed/retired,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,4,5,"$60,000 to $79,999",No,554,Cold/Very Cold,6906,10277.8,52.514,36.944,131.983,1306.23,6.67,4.7,16.77,0,0,716.141,0,2315.97,NA
South,South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Rented,2000 to 2009,5,2,0,Stucco,Shingles (composition or asphalt),Some of the time,No,NA,3,28 to 39 inches,7 to 10 hours,7 to 10 hours,Electricity,70,70,65,No,NA,Yes,Central air conditioning system,10 to 14 years old,70,70,70,Not applicable,No,No,4,No,Female,42,Employed full-time,Some college or Associate’s degree,3,1,5,"$100,000 to $119,999",No,4591,Hot-Humid,578,22146.452,384.139,0,0,2297.28,39.85,0,0,0,0,0,0,2297.28,NA
South,South Atlantic,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Owned or being bought by someone in your household,1980 to 1989,5,2,0,Wood,Not applicable,Never,No,NA,2,40 to 59 inches,7 to 10 hours,7 to 10 hours,Electricity,74,74,74,Yes,5,Yes,Central air conditioning system,10 to 14 years old,72,72,72,Not applicable,Not applicable,Not applicable,1,No,Female,85,Not employed/retired,High school diploma or GED,1,0,5,"$40,000 - $59,999",No,1274,Mixed-Humid,4642,8101.71,311.1,0,0,1003.04,38.52,0,0,0,0,0,0,1003.04,NA
South,South Atlantic,METRO,U,Apartment in a building with 2 to 4 units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,Before 1950,5,2,0,Wood,Shingles (composition or asphalt),Some of the time,No,NA,1,28 to 39 inches,More than 10 hours,7 to 10 hours,Natural gas from underground pipes,72,80,68,No,NA,Yes,Individual window/wall or portable units,Not applicable,80,90,80,Not applicable,Not applicable,Not applicable,6,No,Female,26,Employed full-time,Some college or Associate’s degree,4,0,5,"Less than $20,000",No,3190,Hot-Humid,868,11275,267.968,0,0,1730,41.12,0,0,286.055,486,0,0,2216,NA
South,East South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,No,Split-level,Yes,Owned or being bought by someone in your household,1980 to 1989,6,2,0,Wood,Shingles (composition or asphalt),Never,Yes,0,2,40 to 59 inches,More than 10 hours,More than 10 hours,Electricity,70,64,68,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,3,No,Female,69,Not employed/retired,High school diploma or GED,2,0,5,"$60,000 to $79,999",No,2146,Mixed-Humid,2294,19140.232,550.654,0,0,2373.06,68.21,0,0,0,0,0,0,2373.06,NA
Midwest,East North Central,METRO,U,Single-family detached house,Yes,Yes,Yes,Yes,Two stories,Yes,Owned or being bought by someone in your household,Before 1950,7,1,1,Concrete or concrete block,Shingles (composition or asphalt),Never,No,NA,1,40 to 59 inches,7 to 10 hours,4 to 6 hours,Natural gas from underground pipes,74,78,78,Yes,5,Yes,Individual window/wall or portable units,Not applicable,74,77,78,No,No,No,5,Yes,Female,75,Not employed/retired,High school diploma or GED,1,0,5,"Less than $20,000",No,686,Cold/Very Cold,6023,7033.182,276.614,0,0,967.29,38.04,0,0,797.45,727.59,0,0,1694.88,NA
Midwest,East North Central,METRO,U,Mobile home,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Owned or being bought by someone in your household,1970 to 1979,5,2,0,Siding,Metal,Some of the time,No,NA,2,40 to 59 inches,1 to 3 hours,4 to 6 hours,Natural gas from underground pipes,70,65,65,No,NA,Yes,Central air conditioning system,15 to 19 years old,70,70,70,Not applicable,Not applicable,Not applicable,2,No,Male,53,Employed full-time,High school diploma or GED,1,0,0,"$20,000 - $39,999",No,846,Cold/Very Cold,6147,6121.486,185.256,0,0,859.13,25.92,0,0,1160.883,691.98,0,0,1551.12,NA
Midwest,East North Central,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,No,Owned or being bought by someone in your household,1960 to 1969,6,1,0,Brick,Ceramic or clay tiles,Some of the time,No,NA,3,40 to 59 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,73,69,73,Yes,3,Yes,Central air conditioning system,20 years or older,68,73,68,Not applicable,No,Not applicable,0,No,Male,32,Employed full-time,High school diploma or GED,2,1,1,"$40,000 - $59,999",No,763,Cold/Very Cold,6183,4630.735,233.758,0,0,731.51,36.78,0,0,971.312,621.41,0,0,1352.92,NA
West,Pacific,METRO,U,Single-family detached house,Yes,No,No,Not applicable,One story,No,Rented,Before 1950,5,1,0,Wood,Ceramic or clay tiles,Never,No,NA,4,40 to 59 inches,1 to 3 hours,4 to 6 hours,Natural gas from underground pipes,65,60,55,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,0,No,Male,36,Employed full-time,Less than high school diploma or GED,4,2,1,"$40,000 - $59,999",No,411,Marine,2042,5754.883,118.397,0,0,727.43,14.97,0,0,288.079,202.05,0,0,929.47,NA
South,South Atlantic,METRO,U,Apartment in a building with 2 to 4 units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1960 to 1969,3,1,0,Stucco,Other,Never,No,NA,0,Not applicable,Not applicable,Not applicable,Not applicable,NA,NA,NA,No,NA,Yes,Individual window/wall or portable units,Not applicable,74,74,74,Not applicable,Not applicable,Not applicable,1,No,Male,55,Employed part-time,Less than high school diploma or GED,2,0,5,"Less than $20,000",No,5091,Hot-Humid,65,6796.835,0,0,0,795.26,0,0,0,0,0,0,0,795.26,NA
South,East South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,No,Owned or being bought by someone in your household,1990 to 1999,6,2,0,Wood,Shingles (composition or asphalt),Some of the time,No,NA,4,40 to 59 inches,4 to 6 hours,7 to 10 hours,Electricity,72,70,70,No,NA,Yes,Central air conditioning system,10 to 14 years old,74,76,72,Not applicable,No,Not applicable,5,No,Female,62,Employed full-time,High school diploma or GED,2,0,0,"$40,000 - $59,999",No,2704,Hot-Humid,1393,14402.581,225.18,0,0,1694.65,26.5,0,0,0,0,0,0,1694.65,NA
Midwest,East North Central,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,No,Owned or being bought by someone in your household,Before 1950,5,1,0,Siding,Shingles (composition or asphalt),Most of the time,No,NA,2,40 to 59 inches,4 to 6 hours,7 to 10 hours,Natural gas from underground pipes,72,68,68,No,NA,Yes,Individual window/wall or portable units,Not applicable,69,69,69,Not applicable,No,Not applicable,2,No,Female,53,Not employed/retired,High school diploma or GED,3,0,4,"Less than $20,000",Yes,806,Cold/Very Cold,5927,5323,233.731,0,0,743,32.62,0,0,882.591,750,0,0,1493,2
South,South Atlantic,METRO,U,Single-family detached house,Yes,No,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,2010 to 2015,13,4,1,Siding,Shingles (composition or asphalt),Never,No,NA,5,40 to 59 inches,4 to 6 hours,1 to 3 hours,Natural gas from underground pipes,71,70,68,No,NA,Yes,Central air conditioning system,Less than 2 years old,75,78,78,Yes,No,No,5,No,Male,80,Not employed/retired,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,0,5,"$40,000 - $59,999",No,1265,Mixed-Humid,4650,10575.581,196.383,0,0,1271.52,23.61,0,0,728.028,832.8,0,0,2104.32,NA
Northeast,New England,METRO,U,Single-family detached house,Yes,Yes,No,Not applicable,Two stories,Yes,Owned or being bought by someone in your household,Before 1950,4,2,0,Shingle (composition),Shingles (composition or asphalt),Never,No,NA,3,27 inches or less,1 to 3 hours,1 to 3 hours,Fuel oil/kerosene,63,57,57,No,NA,Yes,Individual window/wall or portable units,Not applicable,68,68,62,No,Not applicable,No,3,Yes,Female,73,Not employed/retired,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",1,0,5,"$40,000 - $59,999",No,537,Cold/Very Cold,6763,3487.859,35.908,0,0,552.35,5.66,0,0,0,0,0,919.791,2657.07,1
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1980 to 1989,5,2,0,Stucco,Wood shingles/shakes,Never,No,NA,2,28 to 39 inches,4 to 6 hours,7 to 10 hours,Electricity,68,62,65,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,0,No,Male,54,Employed full-time,High school diploma or GED,3,0,5,"$20,000 - $39,999",No,2663,Hot-Dry/Mixed-Dry,1013,5121.436,128.392,0,0,760.42,19.06,0,0,0,0,5.808,0,773.63,NA
